iter	Passed	Remaining
626	1970	1172
627	1973	1169
628	1976	1165
629	1979	1162
630	1982	1159
631	1985	1156
632	1988	1152
633	1991	1149
634	1994	1146
635	1997	1143
636	2001	1140
637	2005	1138
638	2008	1134
639	2011	1131
640	2014	1128
641	2017	1125
642	2020	1122
643	2023	1118
644	2026	1115
645	2030	1112
646	2033	1109
647	2036	1106
648	2039	1103
649	2042	1099
650	2045	1096
651	2048	1093
652	2051	1090
653	2054	1086
654	2057	1083
655	2060	1080
656	2063	1077
657	2066	1073
658	2069	1070
659	2072	1067
660	2075	1064
661	2077	1060
662	2080	1057
663	2083	1054
664	2086	1051
665	2089	1047
666	2092	1044
667	2095	1041
668	2098	1038
669	2101	1035
670	2105	1032
671	2108	1028
672	2110	1025
673	2113	1022
674	2116	1019
675	2120	1016
676	2123	1012
677	2126	1009
678	2129	1006
679	2132	1003
680	2135	1000
681	2138	996
682	2141	993
683	2143	990
684	2147	987
685	2149	984
686	2152	980
687	2155	977
688	2158	974
689	2161	971
690	2165	968
691	2168	964
692	2171	961
693	2174	958
694	2177	955
695	2180	952
696	2183	949
697	2186	946
698	2189	942
699	2192	939
700	2195	936
701	2198	933
702	2201	930
703	2205	927
704	2208	924
705	2211	920
706	2214	917
707	2217	914
708	2220	911
709	2223	908
710	2226	904
711	2229	901
712	2232	898
713	2235	895
714	2238	892
715	2241	888
716	2244	885
717	2247	882
718	2250	879
719	2253	876
720	2256	872
721	2258	869
722	2261	866
723	2264	863
724	2267	860
725	2270	857
726	2273	853
727	2277	850
728	2279	847
729	2282	844
730	2286	841
731	2289	838
732	2292	835
733	2295	831
734	2298	828
735	2301	825
736	2304	822
737	2307	819
738	2311	816
739	2314	813
740	2316	809
741	2320	806
742	2323	803
743	2326	800
744	2329	797
745	2332	794
746	2335	790
747	2338	787
748	2340	784
749	2344	781
750	2347	778
751	2350	775
752	2353	772
753	2356	768
754	2359	765
755	2362	762
756	2365	759
757	2368	756
758	2374	753
759	2377	750
760	2380	747
761	2383	744
762	2386	741
763	2388	737
764	2392	734
765	2395	731
766	2397	728
767	2400	725
768	2403	722
769	2406	718
770	2410	715
771	2413	712
772	2416	709
773	2419	706
774	2422	703
775	2425	700
776	2428	696
777	2431	693
778	2434	690
779	2437	687
780	2440	684
781	2443	681
782	2445	677
783	2448	674
784	2451	671
785	2454	668
786	2457	665
787	2460	662
788	2463	658
789	2466	655
790	2469	652
791	2472	649
792	2475	646
793	2478	643
794	2481	639
795	2484	636
796	2487	633
797	2490	630
798	2494	627
799	2497	624
800	2500	621
801	2503	618
802	2506	614
803	2509	611
804	2512	608
805	2515	605
806	2518	602
807	2521	599
808	2524	595
809	2527	592
810	2530	589
811	2533	586
812	2536	583
813	2539	580
814	2541	577
815	2544	573
816	2547	570
817	2550	567
818	2553	564
819	2556	561
820	2559	558
821	2562	554
822	2565	551
823	2569	548
824	2573	545
825	2576	542
826	2579	539
827	2582	536
828	2586	533
829	2589	530
830	2592	527
831	2595	524
832	2598	520
833	2601	517
834	2604	514
835	2607	511
836	2610	508
837	2613	505
838	2616	502
839	2619	498
840	2622	495
841	2625	492
842	2628	489
843	2630	486
844	2634	483
845	2637	480
